
 Mean for ROI 16, contrast 4 is 0.009591, st dev is  1.373915
 Mean for ROI 16, contrast 5 is -0.214670, st dev is  1.403296
 Mean for ROI 16, contrast 6 is 0.124987, st dev is  1.181246
 Mean for ROI 16, contrast 7 is 0.361376, st dev is  1.066888
 Mean for ROI 16, contrast 8 is 0.499813, st dev is  0.887068
 Mean for ROI 16, contrast 9 is 0.575861, st dev is  1.126379
 Mean for ROI 16, contrast 10 is -0.045740, st dev is  0.869406
 Mean for ROI 16, contrast 11 is 0.458152, st dev is  1.040243
 Mean for ROI 16, contrast 12 is 0.297808, st dev is  0.996245
 Mean for ROI 16, contrast 13 is 0.628413, st dev is  1.103675
 Mean for ROI 16, contrast 14 is -0.839323, st dev is  0.856083
 Mean for ROI 16, contrast 15 is -1.163580, st dev is  0.995958
 Mean for ROI 16, contrast 16 is 1.116285, st dev is  1.064044
 Mean for ROI 16, contrast 17 is 1.768941, st dev is  1.381240
 Mean for ROI 16, contrast 18 is 0.561758, st dev is  0.955538
 Mean for ROI 16, contrast 19 is 0.237627, st dev is  0.937663
 Mean for ROI 17, contrast 0 is 4.535536, st dev is  1.851397
 Mean for ROI 17, contrast 1 is 2.406711, st dev is  1.686542
 Mean for ROI 17, contrast 2 is 2.904758, st dev is  1.376555
 Mean for ROI 17, contrast 3 is 2.954096, st dev is  1.519318
 Mean for ROI 17, contrast 4 is 2.780334, st dev is  1.371561
 Mean for ROI 17, contrast 5 is 2.597012, st dev is  1.581840
 Mean for ROI 17, contrast 6 is 2.178970, st dev is  1.221011
 Mean for ROI 17, contrast 7 is 2.361672, st dev is  1.200241
 Mean for ROI 17, contrast 8 is 1.250249, st dev is  1.000293
 Mean for ROI 17, contrast 9 is 0.497764, st dev is  1.060996
 Mean for ROI 17, contrast 10 is -0.198491, st dev is  0.979676
 Mean for ROI 17, contrast 11 is 0.311027, st dev is  1.100080
 Mean for ROI 17, contrast 12 is 0.217620, st dev is  1.100241
 Mean for ROI 17, contrast 13 is 0.449085, st dev is  1.165343
 Mean for ROI 17, contrast 14 is 0.170302, st dev is  0.853687
 Mean for ROI 17, contrast 15 is -1.106033, st dev is  0.897548
 Mean for ROI 17, contrast 16 is 1.625048, st dev is  1.107508
 Mean for ROI 17, contrast 17 is 1.223892, st dev is  1.213427
 Mean for ROI 17, contrast 18 is 0.766309, st dev is  1.020154
 Mean for ROI 17, contrast 19 is 0.372154, st dev is  0.975061
 Mean for ROI 18, contrast 0 is 2.435099, st dev is  1.940567
 Mean for ROI 18, contrast 1 is 0.950429, st dev is  1.867075
 Mean for ROI 18, contrast 2 is 1.633330, st dev is  1.623268
 Mean for ROI 18, contrast 3 is 1.379501, st dev is  1.648394
 Mean for ROI 18, contrast 4 is 1.195766, st dev is  1.540938
 Mean for ROI 18, contrast 5 is 1.241346, st dev is  1.582157
 Mean for ROI 18, contrast 6 is 1.529739, st dev is  1.215910
 Mean for ROI 18, contrast 7 is 1.532808, st dev is  1.242528
 Mean for ROI 18, contrast 8 is 0.802931, st dev is  1.023196
 Mean for ROI 18, contrast 9 is 0.483364, st dev is  1.099998
 Mean for ROI 18, contrast 10 is -0.174158, st dev is  1.018132
 Mean for ROI 18, contrast 11 is 0.353680, st dev is  1.179553
 Mean for ROI 18, contrast 12 is 0.163057, st dev is  1.111076
 Mean for ROI 18, contrast 13 is 0.452393, st dev is  1.193879
 Mean for ROI 18, contrast 14 is -0.527939, st dev is  0.951060
 Mean for ROI 18, contrast 15 is -1.645948, st dev is  1.060270
 Mean for ROI 18, contrast 16 is 0.689244, st dev is  1.171686
 Mean for ROI 18, contrast 17 is -0.263924, st dev is  1.314172
 Mean for ROI 18, contrast 18 is -0.008567, st dev is  1.047109
 Mean for ROI 18, contrast 19 is 0.042259, st dev is  1.031175
 Mean for ROI 19, contrast 0 is 3.054497, st dev is  1.981940
 Mean for ROI 19, contrast 1 is 1.210249, st dev is  1.612096
 Mean for ROI 19, contrast 2 is 1.761211, st dev is  1.561759
 Mean for ROI 19, contrast 3 is 1.807592, st dev is  1.518562
 Mean for ROI 19, contrast 4 is 1.754226, st dev is  1.375791
 Mean for ROI 19, contrast 5 is 1.569451, st dev is  1.523515
 Mean for ROI 19, contrast 6 is 1.337507, st dev is  1.257902
 Mean for ROI 19, contrast 7 is 1.600937, st dev is  1.282976
 Mean for ROI 19, contrast 8 is 2.225860, st dev is  1.058007
 Mean for ROI 19, contrast 9 is 0.877932, st dev is  1.131538
 Mean for ROI 19, contrast 10 is 0.144101, st dev is  1.015432
 Mean for ROI 19, contrast 11 is 0.644052, st dev is  1.067552
 Mean for ROI 19, contrast 12 is 0.373603, st dev is  1.070857
 Mean for ROI 19, contrast 13 is 1.003190, st dev is  1.113888
 Mean for ROI 19, contrast 14 is 0.269208, st dev is  0.774962
 Mean for ROI 19, contrast 15 is -0.495478, st dev is  0.693063
 Mean for ROI 19, contrast 16 is 4.196480, st dev is  1.488209
 Mean for ROI 19, contrast 17 is 3.587042, st dev is  1.175947
 Mean for ROI 19, contrast 18 is 0.512352, st dev is  0.906230
 Mean for ROI 19, contrast 19 is 0.625587, st dev is  0.894846
 Mean for ROI 20, contrast 0 is 3.786421, st dev is  1.968761
 Mean for ROI 20, contrast 1 is 1.322712, st dev is  1.560346
